profile,model_name,train_dataset,eval_dataset,accuracy,accuracy_percent,train_examples,eval_examples,elapsed_train_seconds,run_name
final,t5-small,MNLI,MNLI,0.7955,79.55,50000,2000,2580.41,MNLI_3way
final,t5-small,MNLI,ANLI,0.2935,29.349999999999998,50000,2000,2580.41,MNLI_3way
final,t5-small,MNLI,WANLI,0.573,57.3,50000,2000,2580.41,MNLI_3way
final,t5-small,MNLI,GNLI_PROXY,0.999,99.9,50000,2000,2580.41,MNLI_3way
final,t5-small,ANLI,MNLI,0.748,74.8,50000,2000,2820.85,ANLI_3way
final,t5-small,ANLI,ANLI,0.4335,43.35,50000,2000,2820.85,ANLI_3way
final,t5-small,ANLI,WANLI,0.5845,58.45,50000,2000,2820.85,ANLI_3way
final,t5-small,ANLI,GNLI_PROXY,1.0,100.0,50000,2000,2820.85,ANLI_3way
final,t5-small,WANLI,MNLI,0.6725,67.25,50000,2000,1271.4,WANLI_3way
final,t5-small,WANLI,ANLI,0.3545,35.449999999999996,50000,2000,1271.4,WANLI_3way
final,t5-small,WANLI,WANLI,0.6465,64.64999999999999,50000,2000,1271.4,WANLI_3way
final,t5-small,WANLI,GNLI_PROXY,0.898,89.8,50000,2000,1271.4,WANLI_3way
final,t5-small,GNLI_PROXY,MNLI,0.616,61.6,15200,2000,1998.65,GNLI_PROXY_3way
final,t5-small,GNLI_PROXY,ANLI,0.3165,31.65,15200,2000,1998.65,GNLI_PROXY_3way
final,t5-small,GNLI_PROXY,WANLI,0.489,48.9,15200,2000,1998.65,GNLI_PROXY_3way
final,t5-small,GNLI_PROXY,GNLI_PROXY,1.0,100.0,15200,2000,1998.65,GNLI_PROXY_3way
final,t5-small,MNLI+ANLI+WANLI,MNLI,0.771,77.10000000000001,50000,2000,2026.48,MNLI_ANLI_WANLI_3way
final,t5-small,MNLI+ANLI+WANLI,ANLI,0.4095,40.949999999999996,50000,2000,2026.48,MNLI_ANLI_WANLI_3way
final,t5-small,MNLI+ANLI+WANLI,WANLI,0.648,64.8,50000,2000,2026.48,MNLI_ANLI_WANLI_3way
final,t5-small,MNLI+ANLI+WANLI,GNLI_PROXY,0.9935,99.35000000000001,50000,2000,2026.48,MNLI_ANLI_WANLI_3way
final,t5-small,MNLI+GNLI_PROXY,MNLI,0.771,77.10000000000001,40200,2000,1504.76,MNLI_GNLI_PROXY_3way
final,t5-small,MNLI+GNLI_PROXY,ANLI,0.2975,29.75,40200,2000,1504.76,MNLI_GNLI_PROXY_3way
final,t5-small,MNLI+GNLI_PROXY,WANLI,0.558,55.800000000000004,40200,2000,1504.76,MNLI_GNLI_PROXY_3way
final,t5-small,MNLI+GNLI_PROXY,GNLI_PROXY,1.0,100.0,40200,2000,1504.76,MNLI_GNLI_PROXY_3way
final,t5-small,ANLI+GNLI_PROXY,MNLI,0.7095,70.95,40200,2000,776.0,ANLI_GNLI_PROXY_3way
final,t5-small,ANLI+GNLI_PROXY,ANLI,0.402,40.2,40200,2000,776.0,ANLI_GNLI_PROXY_3way
final,t5-small,ANLI+GNLI_PROXY,WANLI,0.5655,56.55,40200,2000,776.0,ANLI_GNLI_PROXY_3way
final,t5-small,ANLI+GNLI_PROXY,GNLI_PROXY,1.0,100.0,40200,2000,776.0,ANLI_GNLI_PROXY_3way
final,t5-small,WANLI+GNLI_PROXY,MNLI,0.638,63.800000000000004,40200,2000,1937.35,WANLI_GNLI_PROXY_3way
final,t5-small,WANLI+GNLI_PROXY,ANLI,0.353,35.3,40200,2000,1937.35,WANLI_GNLI_PROXY_3way
final,t5-small,WANLI+GNLI_PROXY,WANLI,0.621,62.1,40200,2000,1937.35,WANLI_GNLI_PROXY_3way
final,t5-small,WANLI+GNLI_PROXY,GNLI_PROXY,1.0,100.0,40200,2000,1937.35,WANLI_GNLI_PROXY_3way
