profile,model_name,train_dataset,eval_dataset,accuracy,train_examples,eval_examples,elapsed_train_seconds,run_name
enhanced,t5-small,MNLI,MNLI,0.7792,20000,2500,1462.96,MNLI_3way
enhanced,t5-small,MNLI,ANLI,0.3004,20000,2500,1462.96,MNLI_3way
enhanced,t5-small,MNLI,WANLI,0.5592,20000,2500,1462.96,MNLI_3way
enhanced,t5-small,MNLI,GNLI_PROXY,0.9732456140350877,20000,2280,1462.96,MNLI_3way
enhanced,t5-small,ANLI,MNLI,0.7204,20000,2500,1468.71,ANLI_3way
enhanced,t5-small,ANLI,ANLI,0.4152,20000,2500,1468.71,ANLI_3way
enhanced,t5-small,ANLI,WANLI,0.5428,20000,2500,1468.71,ANLI_3way
enhanced,t5-small,ANLI,GNLI_PROXY,0.999561403508772,20000,2280,1468.71,ANLI_3way
enhanced,t5-small,WANLI,MNLI,0.6656,20000,2500,1459.62,WANLI_3way
enhanced,t5-small,WANLI,ANLI,0.362,20000,2500,1459.62,WANLI_3way
enhanced,t5-small,WANLI,WANLI,0.6492,20000,2500,1459.62,WANLI_3way
enhanced,t5-small,WANLI,GNLI_PROXY,0.9903508771929824,20000,2280,1459.62,WANLI_3way
enhanced,t5-small,GNLI_PROXY,MNLI,0.622,9120,2500,675.06,GNLI_PROXY_3way
enhanced,t5-small,GNLI_PROXY,ANLI,0.3292,9120,2500,675.06,GNLI_PROXY_3way
enhanced,t5-small,GNLI_PROXY,WANLI,0.4852,9120,2500,675.06,GNLI_PROXY_3way
enhanced,t5-small,GNLI_PROXY,GNLI_PROXY,1.0,9120,2280,675.06,GNLI_PROXY_3way
enhanced,t5-small,MNLI+ANLI+WANLI,MNLI,0.778,25998,2500,1891.96,MNLI_ANLI_WANLI_3way
enhanced,t5-small,MNLI+ANLI+WANLI,ANLI,0.3896,25998,2500,1891.96,MNLI_ANLI_WANLI_3way
enhanced,t5-small,MNLI+ANLI+WANLI,WANLI,0.6116,25998,2500,1891.96,MNLI_ANLI_WANLI_3way
enhanced,t5-small,MNLI+ANLI+WANLI,GNLI_PROXY,0.9978070175438597,25998,2280,1891.96,MNLI_ANLI_WANLI_3way
enhanced,t5-small,MNLI+GNLI_PROXY,MNLI,0.78,22120,2500,1618.82,MNLI_GNLI_PROXY_3way
enhanced,t5-small,MNLI+GNLI_PROXY,ANLI,0.3008,22120,2500,1618.82,MNLI_GNLI_PROXY_3way
enhanced,t5-small,MNLI+GNLI_PROXY,WANLI,0.5464,22120,2500,1618.82,MNLI_GNLI_PROXY_3way
enhanced,t5-small,MNLI+GNLI_PROXY,GNLI_PROXY,1.0,22120,2280,1618.82,MNLI_GNLI_PROXY_3way
enhanced,t5-small,ANLI+GNLI_PROXY,MNLI,0.6972,22120,2500,1627.76,ANLI_GNLI_PROXY_3way
enhanced,t5-small,ANLI+GNLI_PROXY,ANLI,0.4116,22120,2500,1627.76,ANLI_GNLI_PROXY_3way
enhanced,t5-small,ANLI+GNLI_PROXY,WANLI,0.5452,22120,2500,1627.76,ANLI_GNLI_PROXY_3way
enhanced,t5-small,ANLI+GNLI_PROXY,GNLI_PROXY,1.0,22120,2280,1627.76,ANLI_GNLI_PROXY_3way
enhanced,t5-small,WANLI+GNLI_PROXY,MNLI,0.6736,22120,2500,1617.27,WANLI_GNLI_PROXY_3way
enhanced,t5-small,WANLI+GNLI_PROXY,ANLI,0.3668,22120,2500,1617.27,WANLI_GNLI_PROXY_3way
enhanced,t5-small,WANLI+GNLI_PROXY,WANLI,0.64,22120,2500,1617.27,WANLI_GNLI_PROXY_3way
enhanced,t5-small,WANLI+GNLI_PROXY,GNLI_PROXY,1.0,22120,2280,1617.27,WANLI_GNLI_PROXY_3way
enhanced,t5-small,ENHANCED_ALL_PUBLIC+GNLI_PROXY,MNLI,0.764,26000,2500,1911.85,ENHANCED_ALL_PUBLIC_GNLI_PROXY_3way
enhanced,t5-small,ENHANCED_ALL_PUBLIC+GNLI_PROXY,ANLI,0.3844,26000,2500,1911.85,ENHANCED_ALL_PUBLIC_GNLI_PROXY_3way
enhanced,t5-small,ENHANCED_ALL_PUBLIC+GNLI_PROXY,WANLI,0.632,26000,2500,1911.85,ENHANCED_ALL_PUBLIC_GNLI_PROXY_3way
enhanced,t5-small,ENHANCED_ALL_PUBLIC+GNLI_PROXY,GNLI_PROXY,1.0,26000,2280,1911.85,ENHANCED_ALL_PUBLIC_GNLI_PROXY_3way
