profile,model_name,train_dataset,eval_dataset,accuracy,train_examples,eval_examples,elapsed_train_seconds,run_name
smoke,t5-small,MNLI,MNLI,0.7766666666666666,1000,300,45.56,MNLI_3way
smoke,t5-small,MNLI,ANLI,0.29,1000,300,45.56,MNLI_3way
smoke,t5-small,MNLI,WANLI,0.5466666666666666,1000,300,45.56,MNLI_3way
smoke,t5-small,MNLI,GNLI_PROXY,0.9890710382513661,1000,183,45.56,MNLI_3way
smoke,t5-small,ANLI,MNLI,0.6933333333333334,1000,300,44.83,ANLI_3way
smoke,t5-small,ANLI,ANLI,0.39,1000,300,44.83,ANLI_3way
smoke,t5-small,ANLI,WANLI,0.5633333333333334,1000,300,44.83,ANLI_3way
smoke,t5-small,ANLI,GNLI_PROXY,0.912568306010929,1000,183,44.83,ANLI_3way
smoke,t5-small,WANLI,MNLI,0.6433333333333333,1000,300,43.8,WANLI_3way
smoke,t5-small,WANLI,ANLI,0.38,1000,300,43.8,WANLI_3way
smoke,t5-small,WANLI,WANLI,0.5366666666666666,1000,300,43.8,WANLI_3way
smoke,t5-small,WANLI,GNLI_PROXY,0.8743169398907104,1000,183,43.8,WANLI_3way
smoke,t5-small,GNLI_PROXY,MNLI,0.5966666666666667,729,300,31.43,GNLI_PROXY_3way
smoke,t5-small,GNLI_PROXY,ANLI,0.33,729,300,31.43,GNLI_PROXY_3way
smoke,t5-small,GNLI_PROXY,WANLI,0.49333333333333335,729,300,31.43,GNLI_PROXY_3way
smoke,t5-small,GNLI_PROXY,GNLI_PROXY,1.0,729,183,31.43,GNLI_PROXY_3way
smoke,t5-small,MNLI+ANLI+WANLI,MNLI,0.7033333333333334,1500,300,60.2,MNLI_ANLI_WANLI_3way
smoke,t5-small,MNLI+ANLI+WANLI,ANLI,0.3566666666666667,1500,300,60.2,MNLI_ANLI_WANLI_3way
smoke,t5-small,MNLI+ANLI+WANLI,WANLI,0.59,1500,300,60.2,MNLI_ANLI_WANLI_3way
smoke,t5-small,MNLI+ANLI+WANLI,GNLI_PROXY,0.9398907103825137,1500,183,60.2,MNLI_ANLI_WANLI_3way
smoke,t5-small,MNLI+GNLI_PROXY,MNLI,0.7333333333333333,1479,300,59.21,MNLI_GNLI_PROXY_3way
smoke,t5-small,MNLI+GNLI_PROXY,ANLI,0.2866666666666667,1479,300,59.21,MNLI_GNLI_PROXY_3way
smoke,t5-small,MNLI+GNLI_PROXY,WANLI,0.5366666666666666,1479,300,59.21,MNLI_GNLI_PROXY_3way
smoke,t5-small,MNLI+GNLI_PROXY,GNLI_PROXY,1.0,1479,183,59.21,MNLI_GNLI_PROXY_3way
smoke,t5-small,ANLI+GNLI_PROXY,MNLI,0.6966666666666667,1479,300,59.46,ANLI_GNLI_PROXY_3way
smoke,t5-small,ANLI+GNLI_PROXY,ANLI,0.4033333333333333,1479,300,59.46,ANLI_GNLI_PROXY_3way
smoke,t5-small,ANLI+GNLI_PROXY,WANLI,0.55,1479,300,59.46,ANLI_GNLI_PROXY_3way
smoke,t5-small,ANLI+GNLI_PROXY,GNLI_PROXY,1.0,1479,183,59.46,ANLI_GNLI_PROXY_3way
smoke,t5-small,WANLI+GNLI_PROXY,MNLI,0.6533333333333333,1479,300,59.69,WANLI_GNLI_PROXY_3way
smoke,t5-small,WANLI+GNLI_PROXY,ANLI,0.3233333333333333,1479,300,59.69,WANLI_GNLI_PROXY_3way
smoke,t5-small,WANLI+GNLI_PROXY,WANLI,0.57,1479,300,59.69,WANLI_GNLI_PROXY_3way
smoke,t5-small,WANLI+GNLI_PROXY,GNLI_PROXY,1.0,1479,183,59.69,WANLI_GNLI_PROXY_3way
